code	json
SNE	{'last_refresh_date': '2018-05-14', 'code': 'SNE', 'marks': {'2018-05-14': {'mark': 6.6, 'labels': {'news': {}, 'rsi': {'content': 'RSI is increasing', 'labels': 1}}}}}
FB	{'last_refresh_date': '2018-05-14', 'code': 'FB', 'marks': {'2018-05-14': {'mark': 5.2, 'labels': {'news': {'content': 'good news mark', 'labels': 1}}}}}
GOOG	{'last_refresh_date': '2018-05-14', 'code': 'GOOG', 'marks': {'2018-05-14': {'mark': 6.8, 'labels': {'news': {'content': 'good news mark', 'labels': 1}, 'rsi': {'content': 'RSI is increasing', 'labels': 1}}}}}
ORCL	{'last_refresh_date': '2018-05-14', 'code': 'ORCL', 'marks': {'2018-05-14': {'mark': 5.2, 'labels': {'news': {'content': 'good news mark', 'labels': 1}}}}}
AMZN	{'last_refresh_date': '2018-05-14', 'code': 'AMZN', 'marks': {'2018-05-14': {'mark': 5.6000000000000005, 'labels': {'bolling_bands': {'content': 'at raising tunnel!', 'labels': 1}, 'news': {'content': 'good news mark', 'labels': 1}, 'rsi': {'content': 'RSI is decreasing', 'labels': 0}}}}}
TCEHY	{'last_refresh_date': '2018-05-14', 'code': 'TCEHY', 'marks': {'2018-05-14': {'mark': 4.2, 'labels': {'news': {}, 'rsi': {'content': 'RSI is decreasing', 'labels': 0}}}}}
AAPL	{'last_refresh_date': '2018-05-14', 'code': 'AAPL', 'marks': {'2018-05-14': {'mark': 5.6000000000000005, 'labels': {'bolling_bands': {'content': 'at raising tunnel!', 'labels': 1}, 'news': {'content': 'good news mark', 'labels': 1}, 'rsi': {'content': 'RSI is decreasing', 'labels': 0}}}}}
JNJ	{'last_refresh_date': '2018-05-14', 'code': 'JNJ', 'marks': {'2018-05-14': {'mark': 5.0, 'labels': {'news': {'content': 'good news mark', 'labels': 1}}}}}
GOOGL	{'last_refresh_date': '2018-05-14', 'code': 'GOOGL', 'marks': {'2018-05-14': {'mark': 5.2, 'labels': {'news': {'content': 'good news mark', 'labels': 1}}}}}
MSFT	{'last_refresh_date': '2018-05-14', 'code': 'MSFT', 'marks': {'2018-05-14': {'mark': 5.2, 'labels': {'news': {'content': 'good news mark', 'labels': 1}}}}}
JPM	{'last_refresh_date': '2018-05-14', 'code': 'JPM', 'marks': {'2018-05-14': {'mark': 5.2, 'labels': {'news': {'content': 'good news mark', 'labels': 1}}}}}
BABA	{'last_refresh_date': '2018-05-14', 'code': 'BABA', 'marks': {'2018-05-14': {'mark': 5.2, 'labels': {'news': {}}}}}
